Semaines;Jour;Nom de séance;Détail de la séance;Rép/Durée;;
Semaine 1;Lundi;Vénus;50 pompes, 20 jacknives, 50 deep squats;X 4;;
;Mardi;;Burpee maximum;5min;;
;Mercredi;Aphrodite;50 burpee, 50 squats, 50 situps, 40, 30, 20, 10..;;;
;Jeudi;;Squat maximum;5min;;
;Vendredi;Dione;75 jumping jack, 25 burpee, 50 leg levers, 75 jumping jack, 50 sit-ups, 25 burpee;X 3;;
;Samedi;Repos;;;;
;Dimanche;Repos;;;;
;;;;;;
Semaine 2;Lundi;Artemis;100 pompes, 150 squat, 50 burpee;;;
;Mardi;Metis;10 burpee, 10 climber, 10 high-jump / 25 burpee, 25 climber, 25 high-jump / 10 burpee, 10 climber, 10 high-jump;X 3;;
;Mercredi;Aphrodite;50 burpee, 50 squats, 50 situps, 40, 30, 20, 10..;;;
;Jeudi;;Burpee maximum;;;
;Vendredi;Artemis;100 pompes, 150 squat, 50 burpee;;;
;Samedi;Repos;;;;
;Dimanche;Repos;;;;
;;;;;;
Semaine 3;Lundi;Aphrodite;50 burpee, 50 squats, 50 situps, 40, 30, 20, 10..;;;
;Mardi;Hadès;25 burpee, 15 tractions, 15 pompes, 25 burpee, run 80 m ( 2 x 40 ) ;;;
;Mercredi;Repos;;;;
;Jeudi;Artemis;100 pompes, 150 squat, 50 burpee;;;
;Vendredi;Hadès;25 burpee, 15 tractions, 15 pompes, 25 burpee, run 80 m ( 2 x 40 );7 minutes de pause / Situps maximum ( 5 minutes );;
;Samedi;Repos;;;;
;Dimanche;Repos;;;;
;;;;;;
Semaine 4;Lundi;Aphrodite;50 burpee, 50 squats, 50 situps, 40, 30, 20, 10..;;;
;Mardi;Aphrodite;50 burpee, 50 squats, 50 situps, 40, 30, 20, 10..;;;
;Mercredi;Repos;;;;
;Jeudi;;Pompes maximum, tractions maximum;5 minutes par série, 3 de chaque avec 3 minutes de pause entre chaque série;;
;Vendredi;Aphrodite;50 burpee, 50 squats, 50 situps, 40, 30, 20, 10..;;;
;Samedi;Repos;;;;
;Dimanche;Repos;;;;
;;;;;;
